run,seed,scenario,min_R_over_R0,final_R_over_R0,max_B,final_B,stress_share,max_w_gap,min_S,final_M_re,final_M_public,yin_cumulative,reflux_cumulative,sf_tax_integral,commons_spend_integral,public_money_identity_error
21,202620,DLE baseline,0.1470598193835035,0.4801843116141481,2986.8414138085445,1542.722455861886,0.7431693989071039,0.8528783407548192,0.6535397285093656,215.57139807953718,550.0,0.0,0.0,41925.470382565494,21886.802018980437,0.0
21,202620,Yin 5%,0.1502538793137765,0.7178302325645752,1794.4307025480114,477.44055894889226,0.5792349726775956,0.8373475229666236,0.6532403122092384,308.1317938024794,1584.1237269764229,1034.1237269764283,0.0,38456.43133179439,20648.20990615881,-5.4569682106375694e-12
21,202620,Reflux 2% max,0.1485961306288347,0.4710704686121737,3290.271156351697,1689.3378006343778,0.8114754098360656,0.85438734715516,0.6533524484333367,211.38339819499657,262.6471450786595,0.0,287.3528549213406,42918.999802946186,22172.431691529742,1.1368683772161603e-13
21,202620,Yin 5% + reflux 2%,0.1509501553503624,0.731174364244483,2009.9748987300773,698.6814606138909,0.6120218579234973,0.8394847810450834,0.6529362966040257,310.79955138122733,1348.9784013385688,1096.4494010228957,297.470999684319,40290.18911646985,21896.386308198104,-7.901235221652314e-12
22,202621,DLE baseline,0.2289940725586223,0.9579487653880076,2912.526652802651,2033.2902373500315,0.546448087431694,0.8154016659023167,0.6528115963159922,276.6204582136192,550.0,0.0,0.0,42560.45481695233,22935.247551605346,0.0
22,202621,Yin 5%,0.2440086770001904,0.8754269470825445,1814.1993258300863,1610.3588582035827,0.5546448087431693,0.7838390566792148,0.6528131103100439,277.91057800849967,1605.8489354770948,1055.8489354771002,0.0,36199.61628304646,21074.909278158535,-5.4569682106375694e-12
22,202621,Reflux 2% max,0.2666753387370228,0.9832815951656323,3481.181779143569,3481.181779143569,0.8169398907103825,0.7993148847922451,0.6528123122992163,274.2745780458774,229.71700636799378,0.0,320.28299363200574,41894.874196754754,22806.37241787623,-4.547473508864641e-13
22,202621,Yin 5% + reflux 2%,0.2503190346991305,0.9579487880431006,2033.168594531843,1962.0038353615967,0.40437158469945356,0.7866889895893678,0.6528115923218921,270.6488103921165,1348.9211212938192,1119.4170114563371,320.4958901625182,38303.56931511948,22356.968499636696,2.2737367544323206e-13
23,202622,DLE baseline,0.30688865740588955,0.7973797394053547,3629.9443406489427,886.1647435563898,0.7158469945355191,0.7711041261692725,0.6528116369595011,288.2315146553183,550.0,0.0,0.0,41518.86088611651,22206.49228480664,0.0
23,202622,Yin 5%,0.31079901787034014,0.38116635065023335,2210.4737356601386,796.252760722059,0.4207650273224044,0.7374177947729524,0.6528115913091019,187.24214498207522,1558.3939327595606,1008.3939327595607,0.0,36215.0093749264,20133.73902599472,-1.1368683772161603e-13
